Number of data,Reference,Experiment No,Train/Test Set,Catalyst,Base,Base wt%,Base 2,Base 2 wt%,Support,Support wt%,Support 2,Catalyst preparation method,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,CO2 Conversion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,"Feng Y, Yang W, Chu W. Effect of Ca modification on the catalytic performance of Ni/AC for CO2 methanation. Integr Ferroelectr 2016;172:40–8. https://doi.org/10.1080/10584587.2016.1175333.",140,Train,Ni-Ca/AC,Ni,15,Ca,20,AC,65,None,WI,450,3,420,1,1,100,370,1,,7,0,0,0,0,4,67.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,"Feng Y, Yang W, Chu W. Effect of Ca modification on the catalytic performance of Ni/AC for CO2 methanation. Integr Ferroelectr 2016;172:40–8. https://doi.org/10.1080/10584587.2016.1175333.",140,Train,Ni-Ca/AC,Ni,15,Ca,20,AC,65,None,WI,450,3,420,1,1,100,390,1,,7,0,0,0,0,4,68.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,"Feng Y, Yang W, Chu W. Effect of Ca modification on the catalytic performance of Ni/AC for CO2 methanation. Integr Ferroelectr 2016;172:40–8. https://doi.org/10.1080/10584587.2016.1175333.",140,Train,Ni-Ca/AC,Ni,15,Ca,20,AC,65,None,WI,450,3,420,1,1,100,420,1,,7,0,0,0,0,4,66.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,"Feng Y, Yang W, Chu W. Effect of Ca modification on the catalytic performance of Ni/AC for CO2 methanation. Integr Ferroelectr 2016;172:40–8. https://doi.org/10.1080/10584587.2016.1175333.",140,Train,Ni-Ca/AC,Ni,15,Ca,20,AC,65,None,WI,450,3,420,1,1,100,450,1,,7,0,0,0,0,4,65.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,"Feng Y, Yang W, Chu W. Effect of Ca modification on the catalytic performance of Ni/AC for CO2 methanation. Integr Ferroelectr 2016;172:40–8. https://doi.org/10.1080/10584587.2016.1175333.",140,Train,Ni-Ca/AC,Ni,15,Ca,20,AC,65,None,WI,450,3,420,1,1,100,480,1,,7,0,0,0,0,4,62.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,"Feng Y, Yang W, Chu W. Effect of Ca modification on the catalytic performance of Ni/AC for CO2 methanation. Integr Ferroelectr 2016;172:40–8. https://doi.org/10.1080/10584587.2016.1175333.",140,Train,Ni-Ca/AC,Ni,15,Ca,20,AC,65,None,WI,450,3,420,1,1,100,510,1,,7,0,0,0,0,4,60.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,"Pandey D, Deo G. Effect of support on the catalytic activity of supported Ni-Fe catalysts for the CO2 methanation reaction. J Ind Eng Chem 2016;33:99–107. https://doi.org/10.1016/j.jiec.2015.09.019.",141,Train,Ni/Al2O3,Ni,10,None,0,Al2O3,90,None,IWI,500,6,500,1,4,100,250,1,1.875,,0,0,0,0,24,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,"Pandey D, Deo G. Effect of support on the catalytic activity of supported Ni-Fe catalysts for the CO2 methanation reaction. J Ind Eng Chem 2016;33:99–107. https://doi.org/10.1016/j.jiec.2015.09.019.",142,Test,Ni-Fe/Al2O3,Ni,7.5,Fe,2.5,Al2O3,90,None,IWI,500,6,500,1,4,100,250,1,1.875,,0,0,0,0,24,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,"Pandey D, Deo G. Effect of support on the catalytic activity of supported Ni-Fe catalysts for the CO2 methanation reaction. J Ind Eng Chem 2016;33:99–107. https://doi.org/10.1016/j.jiec.2015.09.019.",143,Test,Ni-Fe/Al2O3,Ni,5,Fe,5,Al2O3,90,None,IWI,500,6,500,1,4,100,250,1,1.875,,0,0,0,0,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,"Pandey D, Deo G. Effect of support on the catalytic activity of supported Ni-Fe catalysts for the CO2 methanation reaction. J Ind Eng Chem 2016;33:99–107. https://doi.org/10.1016/j.jiec.2015.09.019.",144,Test,Ni-Fe/Al2O3,Ni,2.5,Fe,7.5,Al2O3,90,None,IWI,500,6,500,1,4,100,250,1,1.875,,0,0,0,0,24,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,"Pandey D, Deo G. Effect of support on the catalytic activity of supported Ni-Fe catalysts for the CO2 methanation reaction. J Ind Eng Chem 2016;33:99–107. https://doi.org/10.1016/j.jiec.2015.09.019.",145,Train,Fe/Al2O3,Fe,10,None,0,Al2O3,90,None,IWI,500,6,500,1,4,100,250,1,1.875,,0,0,0,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,200,1,2,,0,0,0,0,4,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,220,1,2,,0,0,0,0,4,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,240,1,2,,0,0,0,0,4,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,260,1,2,,0,0,0,0,4,3.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,280,1,2,,0,0,0,0,4,6.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,290,1,2,,0,0,0,0,4,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,300,1,2,,0,0,0,0,4,13.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,310,1,2,,0,0,0,0,4,18.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,320,1,2,,0,0,0,0,4,25.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,330,1,2,,0,0,0,0,4,36.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,340,1,2,,0,0,0,0,4,48.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,350,1,2,,0,0,0,0,4,61.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,360,1,2,,0,0,0,0,4,71.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,380,1,2,,0,0,0,0,4,76.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",146,Train,Ni/CNT,Ni,12,None,0,NC,88,None,WI,350,4,350,1,1,100,400,1,2,,0,0,0,0,4,78.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,200,1,2,,0,0,0,0,4,1.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,220,1,2,,0,0,0,0,4,3.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,240,1,2,,0,0,0,0,4,7.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,260,1,2,,0,0,0,0,4,17.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,280,1,2,,0,0,0,0,4,38.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,290,1,2,,0,0,0,0,4,52.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,300,1,2,,0,0,0,0,4,63.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,310,1,2,,0,0,0,0,4,69.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,320,1,2,,0,0,0,0,4,75.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,330,1,2,,0,0,0,0,4,79.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,340,1,2,,0,0,0,0,4,80.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,350,1,2,,0,0,0,0,4,81.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,360,1,2,,0,0,0,0,4,82.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,380,1,2,,0,0,0,0,4,82.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",147,Train,Ni-Ce/CNT,Ni,12,Ce,1.5,NC,86.5,None,WI,350,4,350,1,1,100,400,1,2,,0,0,0,0,4,82.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,200,1,2,,0,0,0,0,4,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,220,1,2,,0,0,0,0,4,3.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,240,1,2,,0,0,0,0,4,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,260,1,2,,0,0,0,0,4,21.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,280,1,2,,0,0,0,0,4,43.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,290,1,2,,0,0,0,0,4,55.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,300,1,2,,0,0,0,0,4,64.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,310,1,2,,0,0,0,0,4,71.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,320,1,2,,0,0,0,0,4,75.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,330,1,2,,0,0,0,0,4,78.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,340,1,2,,0,0,0,0,4,79.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,350,1,2,,0,0,0,0,4,82.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,360,1,2,,0,0,0,0,4,83.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,380,1,2,,0,0,0,0,4,83.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",148,Train,Ni-Ce/CNT,Ni,12,Ce,3,NC,85,None,WI,350,4,350,1,1,100,400,1,2,,0,0,0,0,4,83.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",149,Train,Ni-Ce/CNT,Ni,12,Ce,4.5,NC,83.5,None,WI,350,4,350,1,1,100,200,1,2,,0,0,0,0,4,1.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",149,Train,Ni-Ce/CNT,Ni,12,Ce,4.5,NC,83.5,None,WI,350,4,350,1,1,100,220,1,2,,0,0,0,0,4,4.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",149,Train,Ni-Ce/CNT,Ni,12,Ce,4.5,NC,83.5,None,WI,350,4,350,1,1,100,240,1,2,,0,0,0,0,4,11.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",149,Train,Ni-Ce/CNT,Ni,12,Ce,4.5,NC,83.5,None,WI,350,4,350,1,1,100,260,1,2,,0,0,0,0,4,32.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,"Wang W, Chu W, Wang N, Yang W, Jiang C. Mesoporous nickel catalyst supported on multi-walled carbon nanotubes for carbon dioxide methanation. Int J Hydrogen Energy 2016;41:967–75. https://doi.org/10.1016/j.ijhydene.2015.11.133.",149,Train,Ni-Ce/CNT,Ni,12,Ce,4.5,NC,83.5,None,WI,350,4,350,1,1,100,280,1,2,,0,0,0,0,4,60.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
